Zeitstempel;Seriennummer;Lage;Höhe;Breite;Maschinenprogrammname;Maschinenprogrammnummer;Laserprogramm;Sensorprogramm;SollwertV-Lage;SollwertA-Lage;SollwertHöhe;ToleranzBreite;ToleranzHöhe
2025-09-25T12:25:19;01250925122519;180°;9,9993;2,927;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:25:37;01250925122537;180°;9,9993;2,927;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:25:53;01250925122553;180°;9,9913;3,0423;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:26:22;01250925122622;0°;9,9707;3,4663;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:26:41;01250925122641;0°;10,0015;3,3908;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:27:12;01250925122712;0°;9,9656;3,4411;7003;4;4;1;3,3911;3,002;9,9822;0,2;0,1
2025-09-25T12:46:45;01250925124645;180°;9,0064;1,9551;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T12:46:59;01250925124659;0°;9,0403;2,746;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T12:47:14;01250925124714;180°;9,0059;2,0261;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T12:47:42;01250925124742;0°;9,0293;2,846;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T12:48:00;01250925124800;180°;9,0273;2,1468;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T12:48:13;01250925124813;0°;9,0183;2,8461;71905;113;113;1;2,8454;2,0255;9,0239;0,2;0,3
2025-09-25T13:05:35;01250925130535;0°;20,0095;6,281;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:05:48;01250925130548;180°;20,0193;4,113;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:06:05;01250925130605;0°;20,0284;6,3076;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:06:19;01250925130619;0°;20,0343;6,2777;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:06:32;01250925130632;180°;20,0138;3,9522;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:06:49;01250925130649;0°;20,0299;6,3501;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:07:12;01250925130712;0°;20,0164;6,2805;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:07:26;01250925130726;180°;20,0185;4,0657;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:07:51;01250925130751;0°;20,0278;6,28;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:08:17;01250925130817;180°;20,0261;4,0617;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:08:31;01250925130831;0°;20,0128;6,2381;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:08:49;01250925130849;0°;20,0345;6,3553;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:09:03;01250925130903;0°;20,0182;6,2801;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:09:22;01250925130922;180°;20,0139;4,1118;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:09:42;01250925130942;180°;20,0039;3,9671;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:10:24;01250925131024;0°;20,0142;6,2805;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:10:38;01250925131038;0°;20,0217;6,28;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:10:52;01250925131052;180°;20,0136;4,1116;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:18:34;01250925131834;180°;20,0239;4,037;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:18:49;01250925131849;0°;20,024;5,8557;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:19:03;01250925131903;180°;20,0007;3,9623;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:19:16;01250925131916;180°;20,0317;4,0421;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
2025-09-25T13:19:30;01250925131930;180°;20,0241;3,9689;7014;15;15;1;6,3075;4,038;20,047;0,5;0,5
