Zeitstempel;Seriennummer;Lage;Höhe;Breite;Maschinenprogrammname;Maschinenprogrammnummer;Laserprogramm;Sensorprogramm;SollwertV-Lage;SollwertA-Lage;SollwertHöhe;ToleranzBreite;ToleranzHöhe
2025-09-23T12:37:37;01230925123737;180°;16,0112;4,173;71914;122;122;1;5,3312;4,3531;16,0136;0,2;0,3
2025-09-23T12:39:59;01230925123959;0°;16,0031;5,1393;71914;122;122;1;5,3312;4,3531;16,0136;0,2;0,3
2025-09-23T12:51:28;01230925125128;0°;16,0023;5,1891;71914;122;122;1;5,3312;4,3531;16,0136;0,2;0,3
2025-09-23T12:52:26;01230925125226;180°;16,0371;4,3696;71914;122;122;1;5,3312;4,3531;16,0136;0,2;0,3
2025-09-23T12:57:24;01230925125724;0°;38,1472;7,1836;7000;1;1;1;7,1808;10,9034;38,143;0,2;0,3
2025-09-23T12:58:19;01230925125819;180°;38,1424;10,7285;7000;1;1;1;7,1808;10,9034;38,143;0,2;0,3
2025-09-23T13:02:48;01230925130248;0°;22,2302;4,5274;7001;2;2;1;4,5179;6,7816;22,0706;0,5;0,3
2025-09-23T13:03:13;01230925130313;180°;22,0971;6,7816;7001;2;2;1;4,5179;6,7816;22,0706;0,5;0,3
2025-09-23T13:03:39;01230925130339;0°;22,2308;4,464;7001;2;2;1;4,5179;6,7816;22,0706;0,5;0,3
2025-09-23T13:04:45;01230925130445;0°;22,0697;4,4852;7001;2;2;1;4,5179;6,7816;22,0706;0,5;0,3
2025-09-23T13:05:11;01230925130511;0°;22,2309;4,5025;7001;2;2;1;4,5179;6,7816;22,0706;0,5;0,3
